TaxRates;FatherCategoryDescription;Department;ImageUrl;Description;Sequence;SortingIndex;Obsolete;Code;IsTobacco;IsEnabledSuggestedPrice;IsNotFiscal;AccountingExportCode;ExportToMSO
22;;2;;Sigarette Elettroniche;0;5;;;0;0;0;1;0
22;Sigarette Elettroniche;2;;NGP;0;10;0;;0;0;0;1;0
22;Sigarette Elettroniche;2;;IVA;0;6;0;;0;0;0;1;0
0;;0;;Sigarette;0;7;0;;1;0;1;0;0
0;;1;;Sigaretti;0;8;;;1;;1;;0
0;;1;;Trinciati;0;9;;;1;;1;;0
0;;1;;Fiuti;0;10;;;1;;1;;0
0;;1;;Sigari;0;11;;;1;;1;;0
0;;1;;Tabacco senza combustione;0;12;;;1;;1;;0
22;;2;;IVA 22%;;13;0;;;0;0;1;0
10;;2;;ARTICOLI GENERICI;;1;0;;;0;0;1;0
22;;2;;Pastigliaggi e Snack;3;5;0;;0;0;0;1;0
22;;2;;Cartoleria;;14;0;;;0;0;1;0
22;;2;;Articoli Da Regalo;;1;0;;;0;0;0;0
22;;2;;Batterie;;15;0;;;0;0;1;0
22;;2;;Cioccolata;;16;0;;;0;0;1;0
22;;2;;Tabaccheria;;2;0;;;0;0;1;0
0;;1;;Giochi;;3;0;;;0;1;1;0
0;;1;;Gratta E Vinci;;4;0;;;0;1;10;0
